order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,5417,2025-06-15,108,4,77.66,310.62,Pending,
2,2537,2023-09-22,106,1,45.79,45.79,Completed,2023-09-22
3,1089,2024-10-17,59,5,419.62,2098.12,Pending,
4,2253,2023-09-11,15,4,15.67,62.70,Pending,
5,6587,2024-01-05,333,5,109.91,549.56,Pending,
6,2107,2023-09-29,91,1,489.11,489.11,Completed,2023-09-30
7,6945,2025-02-05,402,4,330.45,1321.81,Pending,
8,5989,2023-05-20,418,2,284.66,569.33,Cancelled,
9,5177,2023-04-22,397,4,68.76,275.04,Completed,2023-04-27
10,5123,2023-11-15,343,5,289.73,1448.64,Cancelled,
11,4426,2023-03-29,377,2,212.41,424.83,Cancelled,
12,8749,2025-02-20,141,3,164.15,492.44,Completed,2025-02-22
13,8771,2025-01-07,498,2,206.72,413.45,Pending,
14,6042,2024-08-17,31,5,62.17,310.84,Cancelled,
15,5095,2023-05-17,496,1,99.66,99.66,Pending,
16,3193,2025-04-25,178,5,191.51,957.57,Pending,
17,5699,2025-01-24,262,1,349.90,349.90,Cancelled,
18,5461,2023-12-11,449,2,258.91,517.82,Pending,
19,460,2025-01-03,475,4,164.91,659.66,Completed,2025-01-08
20,8331,2025-04-20,46,5,346.20,1731.01,Cancelled,
21,7391,2025-07-22,414,2,186.75,373.50,Completed,2025-07-23
22,5868,2024-05-19,93,3,354.83,1064.50,Completed,2024-05-22
23,7905,2024-08-02,130,3,391.52,1174.55,Completed,2024-08-05
24,4335,2024-03-13,407,5,130.19,650.94,Completed,2024-03-15
25,867,2024-06-28,25,4,14.27,57.07,Cancelled,
26,8373,2024-03-20,474,2,201.19,402.37,Cancelled,
27,2063,2025-04-01,492,4,188.44,753.74,Completed,2025-04-02
28,8141,2023-12-27,237,5,121.66,608.28,Cancelled,
29,4756,2023-05-24,335,4,20.14,80.57,Pending,
30,1988,2025-05-30,12,3,21.94,65.81,Pending,
31,5906,2024-03-21,130,3,368.26,1104.77,Cancelled,
32,714,2025-05-24,48,4,39.62,158.48,Cancelled,
33,3647,2024-07-31,73,3,239.68,719.04,Completed,2024-08-01
34,6507,2024-12-24,488,2,186.68,373.36,Pending,
35,7814,2025-03-03,152,2,70.94,141.89,Completed,2025-03-03
36,3566,2025-02-06,68,3,38.77,116.31,Pending,
37,9577,2024-06-04,153,2,340.25,680.51,Cancelled,
38,8703,2024-07-24,133,3,469.54,1408.61,Completed,2024-07-28
39,5858,2024-08-28,80,2,219.42,438.83,Completed,2024-08-30
40,9338,2024-09-11,213,3,174.70,524.10,Completed,2024-09-16
41,5806,2025-01-20,365,5,183.48,917.40,Completed,2025-01-24
42,1901,2023-04-22,89,4,365.32,1461.27,Cancelled,
43,8078,2025-03-31,364,3,343.72,1031.15,Cancelled,
44,2355,2025-05-20,225,1,269.25,269.25,Pending,
45,2377,2023-08-07,478,3,452.10,1356.29,Pending,
46,9826,2025-07-25,495,2,203.13,406.26,Cancelled,
47,2120,2025-07-29,244,4,60.16,240.63,Completed,2025-07-31
48,499,2025-01-15,393,3,489.46,1468.39,Completed,2025-01-18
49,5511,2024-07-19,340,3,58.66,175.97,Pending,
50,6190,2023-01-17,119,5,48.93,244.66,Pending,
51,5738,2024-06-28,4,2,356.60,713.20,Pending,
52,9882,2023-10-26,83,1,243.65,243.65,Cancelled,
53,5547,2025-01-05,301,3,93.16,279.47,Cancelled,
54,2210,2023-07-06,227,4,250.28,1001.12,Completed,2023-07-07
55,3444,2025-04-19,163,3,116.34,349.02,Pending,
56,7485,2023-08-10,100,2,360.57,721.14,Cancelled,
57,9961,2023-05-03,215,5,101.68,508.41,Completed,2023-05-03
58,196,2025-02-13,71,4,10.69,42.77,Completed,2025-02-14
59,1110,2023-09-15,132,2,448.08,896.15,Cancelled,
60,8552,2025-03-20,198,5,336.58,1682.88,Completed,2025-03-22
61,3549,2024-05-02,448,4,43.46,173.84,Completed,2024-05-03
62,1826,2024-07-27,497,1,184.49,184.49,Pending,
63,9303,2023-08-16,287,2,42.09,84.18,Completed,2023-08-16
64,9312,2025-05-11,186,1,243.39,243.39,Pending,
65,3817,2023-04-18,240,4,426.50,1705.98,Pending,
66,2133,2025-08-21,314,4,494.56,1978.25,Completed,2025-08-21
67,5102,2024-12-01,265,3,35.32,105.96,Pending,
68,7437,2023-01-28,343,3,307.20,921.61,Cancelled,
69,8610,2023-01-01,77,4,276.61,1106.46,Pending,
70,9954,2024-07-28,31,4,83.86,335.46,Pending,
71,7825,2024-06-18,44,2,472.45,944.89,Pending,
72,9574,2024-09-02,433,3,180.11,540.34,Pending,
73,5298,2023-08-29,292,4,388.49,1553.95,Pending,
74,3436,2024-06-12,39,3,407.24,1221.72,Cancelled,
75,7612,2024-04-01,485,3,66.34,199.03,Completed,2024-04-05
76,485,2024-06-22,102,2,106.34,212.68,Cancelled,
77,8822,2023-10-17,30,4,433.22,1732.90,Cancelled,
78,1099,2023-10-14,239,3,15.78,47.33,Cancelled,
79,1995,2024-03-30,485,2,467.05,934.10,Pending,
80,8409,2023-12-24,321,5,217.37,1086.83,Cancelled,
81,8449,2024-07-08,359,4,169.03,676.10,Cancelled,
82,5540,2025-02-10,487,1,297.97,297.97,Cancelled,
83,1589,2025-04-28,156,3,31.12,93.35,Cancelled,
84,7172,2023-10-26,91,2,201.51,403.01,Cancelled,
85,6445,2023-12-14,66,4,97.21,388.84,Completed,2023-12-14
86,8851,2023-05-18,467,1,151.14,151.14,Cancelled,
87,645,2025-02-22,158,2,329.14,658.27,Completed,2025-02-27
88,5308,2023-09-23,468,1,344.17,344.17,Cancelled,
89,6576,2023-09-25,75,1,248.63,248.63,Completed,2023-09-30
90,3169,2025-05-28,476,3,306.34,919.02,Pending,
91,9405,2025-02-09,463,3,62.24,186.73,Cancelled,
92,6188,2024-07-23,230,3,484.64,1453.92,Completed,2024-07-28
93,9171,2025-05-03,345,4,286.18,1144.73,Cancelled,
94,5897,2023-03-19,273,3,228.79,686.38,Cancelled,
95,1410,2024-04-13,28,4,326.36,1305.43,Completed,2024-04-18
