product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Product 1,Home,147.20,129.69,125,24
2,Product 2,Books,40.05,32.21,44,47
3,Product 3,Clothing,99.64,87.27,119,42
4,Product 4,Books,230.80,122.39,214,24
5,Product 5,Electronics,137.92,92.60,388,20
6,Product 6,Clothing,222.48,141.14,110,31
7,Product 7,Home,40.68,24.93,433,32
8,Product 8,Sports,273.68,122.73,274,17
9,Product 9,Books,317.44,194.76,150,50
10,Product 10,Books,289.71,125.61,98,14
11,Product 11,Home,19.78,13.94,40,24
12,Product 12,Sports,283.94,173.96,325,33
13,Product 13,Home,58.65,36.72,359,14
14,Product 14,Clothing,165.82,123.78,83,39
15,Product 15,Books,196.33,78.99,112,30
16,Product 16,Clothing,370.28,169.36,420,12
17,Product 17,Electronics,269.16,161.98,108,46
18,Product 18,Sports,270.97,175.89,202,39
19,Product 19,Books,42.57,32.86,275,26
20,Product 20,Books,256.11,150.67,204,33
21,Product 21,Books,119.25,47.77,252,15
22,Product 22,Clothing,351.31,152.38,321,20
23,Product 23,Electronics,269.64,159.46,197,34
24,Product 24,Home,212.74,121.20,497,45
25,Product 25,Electronics,192.92,172.85,349,44
26,Product 26,Home,329.50,151.42,57,28
27,Product 27,Home,155.79,89.78,497,42
28,Product 28,Electronics,278.10,153.58,445,50
29,Product 29,Books,126.05,63.20,101,19
30,Product 30,Books,103.33,77.91,470,10
31,Product 31,Electronics,217.29,121.79,475,33
32,Product 32,Home,399.32,176.35,122,13
33,Product 33,Electronics,98.45,51.97,43,41
34,Product 34,Books,405.25,164.12,392,18
35,Product 35,Books,53.03,30.04,84,26
36,Product 36,Clothing,210.32,107.90,475,44
37,Product 37,Home,314.58,152.28,204,33
38,Product 38,Electronics,165.00,90.43,126,24
39,Product 39,Books,19.75,17.49,117,47
40,Product 40,Electronics,57.50,47.94,117,14
41,Product 41,Electronics,418.21,181.56,263,25
42,Product 42,Books,105.53,59.30,67,46
43,Product 43,Sports,169.02,117.36,413,36
44,Product 44,Sports,52.06,42.13,181,37
45,Product 45,Electronics,196.68,85.16,344,16
46,Product 46,Electronics,35.65,16.82,127,22
47,Product 47,Sports,72.74,42.09,93,27
48,Product 48,Electronics,221.30,95.21,226,45
49,Product 49,Books,48.50,24.09,428,10
